Year,Month,Day,Hour,Minute,Solar Zenith Angle,Temperature,Surface Albedo,Relative Humidity,Wind Speed,Wind Direction,Clearsky DNI,Clearsky GHI,Clearsky DHI
2022,1,1,0,30,147.68,7.2,0.1,93.16,2.2,225,0,0,0
2022,1,1,1,30,136.9,7.2,0.1,93.47,2.5,224,0,0,0
2022,1,1,2,30,125.66,7.2,0.1,93.32000000000001,2.8000000000000003,226,0,0,0
2022,1,1,3,30,114.43,7.300000000000001,0.1,93.13,3.1,228,0,0,0
2022,1,1,4,30,103.51,7.5,0.1,92.67,3.4000000000000004,230,0,0,0
2022,1,1,5,30,93.16,7.9,0.1,91.2,3.8000000000000003,235,0,0,0
2022,1,1,6,30,83.58,8.5,0.1,89.21000000000001,4.3,239,319,75,39
2022,1,1,7,30,75.51,9.1,0.1,87.24,4.800000000000001,241,548,207,70
2022,1,1,8,30,69.2,9.5,0.1,86.08,5,241,655,321,88
2022,1,1,9,30,65.26,9.700000000000001,0.1,86.01,4.9,238,710,393,96
2022,1,1,10,30,64.15,9.8,0.1,86.45,4.6000000000000005,233,725,413,97
2022,1,1,11,30,66.01,9.8,0.1,87.60000000000001,4.2,228,710,380,92
2022,1,1,12,30,70.61,9.8,0.1,88.65,3.9000000000000004,224,642,296,83
2022,1,1,13,30,77.43,9.700000000000001,0.1,90.09,3.5,222,505,173,64
2022,1,1,14,30,85.83,9.3,0.1,92.37,3.1,224,206,43,28
2022,1,1,15,30,95.74000000000001,9.200000000000001,0.1,93.3,3,231,0,0,0
2022,1,1,16,30,106.25,9.3,0.1,93.42,2.8000000000000003,240,0,0,0
2022,1,1,17,30,117.28,9.3,0.1,94.3,2.7,252,0,0,0
2022,1,1,18,30,128.54,9.200000000000001,0.1,95.95,2.5,267,0,0,0
2022,1,1,19,30,139.71,9.1,0.1,97.2,2.4000000000000004,283,0,0,0
2022,1,1,20,30,150.24,8.8,0.1,98.8,2.3000000000000003,293,0,0,0
2022,1,1,21,30,158.71,8.4,0.1,100,2.3000000000000003,302,0,0,0
2022,1,1,22,30,161.71,8.200000000000001,0.1,100,2.2,312,0,0,0
2022,1,1,23,30,156.92000000000002,8.200000000000001,0.1,100,2,319,0,0,0
2022,1,2,0,30,147.71,8.200000000000001,0.1,100,1.8,323,0,0,0
2022,1,2,1,30,136.93,8.200000000000001,0.1,100,1.8,322,0,0,0
2022,1,2,2,30,125.7,8.200000000000001,0.1,100,1.8,321,0,0,0
2022,1,2,3,30,114.47,8.3,0.1,100,1.7000000000000002,324,0,0,0
2022,1,2,4,30,103.54,8.5,0.1,100,1.6,325,0,0,0
2022,1,2,5,30,93.18,8.700000000000001,0.1,99.33,1.6,319,0,0,0
2022,1,2,6,30,83.58,9.3,0.1,96.92,1.7000000000000002,322,278,73,42
2022,1,2,7,30,75.49,9.9,0.1,94.64,2.3000000000000003,340,493,205,81
2022,1,2,8,30,69.16,10.3,0.1,92.07000000000001,3,267,592,317,106
2022,1,2,9,30,65.19,10.3,0.1,90.57000000000001,3.7,10,637,389,122
2022,1,2,10,30,64.06,10.100000000000001,0.1,89.38,3.9000000000000004,21,649,410,126
2022,1,2,11,30,65.9,10.100000000000001,0.1,85.69,4,30,657,381,113
2022,1,2,12,30,70.49,9.9,0.1,82.52,3.8000000000000003,37,583,296,102
2022,1,2,13,30,77.3,9.4,0.1,81.83,3.2,43,489,178,70
2022,1,2,14,30,85.7,8.3,0.1,84.68,2.6,49,242,47,28
2022,1,2,15,30,95.60000000000001,7.7,0.1,84.72,2.4000000000000004,57,0,0,0
2022,1,2,16,30,106.11,7.5,0.1,84.2,2.1,68,0,0,0
2022,1,2,17,30,117.14,7.5,0.1,83.17,1.8,83,0,0,0
2022,1,2,18,30,128.4,7.4,0.1,83.44,1.7000000000000002,101,0,0,0
2022,1,2,19,30,139.57,7.2,0.1,85.46000000000001,1.7000000000000002,122,0,0,0
2022,1,2,20,30,150.1,6.9,0.1,89.62,1.9000000000000001,145,0,0,0
2022,1,2,21,30,158.58,6.6000000000000005,0.1,94.81,2.3000000000000003,167,0,0,0
2022,1,2,22,30,161.62,6.5,0.1,98.83,2.6,184,0,0,0
2022,1,2,23,30,156.91,6.5,0.1,100,2.9000000000000004,194,0,0,0
2022,1,3,0,30,147.72,6.5,0.1,100,3.1,201,0,0,0
2022,1,3,1,30,136.96,6.4,0.1,100,3.3000000000000003,206,0,0,0
2022,1,3,2,30,125.73,6.5,0.1,100,3.5,210,0,0,0
2022,1,3,3,30,114.5,6.7,0.1,100,3.8000000000000003,212,0,0,0
2022,1,3,4,30,103.56,6.9,0.1,100,4.2,213,0,0,0
2022,1,3,5,30,93.19,7.2,0.1,98.06,4.7,213,0,0,0
2022,1,3,6,30,83.58,8.1,0.1,91.49,5.300000000000001,211,386,79,36
2022,1,3,7,30,75.47,8.9,0.1,85.64,5.5,210,646,221,58
2022,1,3,8,30,69.12,9.9,0.1,79.96000000000001,5.4,212,765,341,68
2022,1,3,9,30,65.12,10.9,0.1,75.07000000000001,5.6000000000000005,218,802,415,77
2022,1,3,10,30,63.96,11.700000000000001,0.1,71.89,5.800000000000001,226,820,437,77
2022,1,3,11,30,65.78,11.9,0.1,72.49,5.800000000000001,231,806,404,73
2022,1,3,12,30,70.36,11.700000000000001,0.1,75.16,5.5,232,738,316,68
2022,1,3,13,30,77.16,11.100000000000001,0.1,80.36,5,230,607,189,55
2022,1,3,14,30,85.56,10.3,0.1,85.11,4.5,228,302,50,27
2022,1,3,15,30,95.45,10.100000000000001,0.1,86.54,4.5,228,0,0,0
2022,1,3,16,30,105.97,10.3,0.1,86.03,4.6000000000000005,227,0,0,0
2022,1,3,17,30,117,10.3,0.1,85.94,4.7,226,0,0,0
2022,1,3,18,30,128.25,10.3,0.1,85.09,4.9,224,0,0,0
2022,1,3,19,30,139.42000000000002,10.200000000000001,0.1,84.39,5.1000000000000005,222,0,0,0
2022,1,3,20,30,149.95000000000002,9.9,0.1,84.87,5.1000000000000005,223,0,0,0
2022,1,3,21,30,158.44,9.700000000000001,0.1,85.53,5,224,0,0,0
2022,1,3,22,30,161.53,9.5,0.1,86.78,5.1000000000000005,224,0,0,0
2022,1,3,23,30,156.88,9.5,0.1,87.53,5.2,224,0,0,0
2022,1,4,0,30,147.74,9.5,0.1,88.64,5.300000000000001,225,0,0,0
2022,1,4,1,30,136.99,9.3,0.1,91.07000000000001,5.2,226,0,0,0
2022,1,4,2,30,125.76,9.1,0.1,94.15,4.9,230,0,0,0
2022,1,4,3,30,114.52,8.8,0.1,97.27,4.6000000000000005,233,0,0,0
2022,1,4,4,30,103.58,8.6,0.1,99.08,4.3,235,0,0,0
2022,1,4,5,30,93.2,8.700000000000001,0.1,98.11,4.1000000000000005,237,0,0,0
2022,1,4,6,30,83.57000000000001,9.600000000000001,0.1,92.67,4.2,241,373,77,36
2022,1,4,7,30,75.44,10.5,0.1,88.24,4.1000000000000005,241,620,217,61
2022,1,4,8,30,69.06,11.3,0.1,84.94,3.8000000000000003,236,731,336,74
2022,1,4,9,30,65.04,11.9,0.1,83.15,3.6,230,776,410,83
2022,1,4,10,30,63.85,12.200000000000001,0.1,82.29,3.4000000000000004,227,784,432,86
2022,1,4,11,30,65.66,12.4,0.1,81.11,3.2,225,766,398,83
2022,1,4,12,30,70.22,12.3,0.1,81.34,2.8000000000000003,222,705,314,75
2022,1,4,13,30,77.01,11.8,0.1,84.55,2.2,216,565,187,60
2022,1,4,14,30,85.42,10.700000000000001,0.1,90.10000000000001,1.8,206,272,51,29
2022,1,4,15,30,95.3,10.200000000000001,0.1,91.34,2.1,201,0,0,0
2022,1,4,16,30,105.82000000000001,10.100000000000001,0.1,90.66,2.5,201,0,0,0
2022,1,4,17,30,116.85000000000001,10.200000000000001,0.1,88.92,3.1,204,0,0,0
2022,1,4,18,30,128.11,10.3,0.1,87.63,3.6,203,0,0,0
2022,1,4,19,30,139.28,10.200000000000001,0.1,87.79,3.8000000000000003,201,0,0,0
2022,1,4,20,30,149.8,10.100000000000001,0.1,87.9,4.1000000000000005,199,0,0,0
2022,1,4,21,30,158.3,9.9,0.1,88.8,4.2,199,0,0,0
2022,1,4,22,30,161.43,9.8,0.1,89.7,4.3,201,0,0,0
2022,1,4,23,30,156.85,9.700000000000001,0.1,90.95,4.3,204,0,0,0
2022,1,5,0,30,147.74,9.600000000000001,0.1,92.5,4.2,207,0,0,0
